Framework,Tag,Members,Confidence,CandidateHooks,ParseSites
Antares,Dominator.FirstAnimHeight,Dominator_FirstAnimHeight,member-referenced,1,src/Misc/SWTypes/Dominator.cpp:70
Antares,Dominator.PermanentCapture,Dominator_PermanentCapture,member-referenced,22,src/Misc/SWTypes/Dominator.cpp:81
Antares,Dominator.Ripple,Dominator_Ripple,member-referenced,22,src/Misc/SWTypes/Dominator.cpp:77
Antares,Dominator.SecondAnim,Dominator_SecondAnim,member-referenced,22,src/Misc/SWTypes/Dominator.cpp:73
Antares,Dominator.SecondAnimHeight,Dominator_SecondAnimHeight,member-referenced,22,src/Misc/SWTypes/Dominator.cpp:71
Antares,Drain.Amount,Drain_Amount,member-referenced,18,src/Ext/TechnoType/Body.cpp:378
Antares,Drain.Local,Drain_Local,member-referenced,18,src/Ext/TechnoType/Body.cpp:377
Antares,DropPod.Maximum,DropPod_Maximum,member-referenced,1,src/Misc/SWTypes/DropPod.cpp:34
Antares,DropPod.Minimum,DropPod_Minimum,member-referenced,1,src/Misc/SWTypes/DropPod.cpp:33
Antares,DropPod.Types,DropPod_Types,member-referenced,1,src/Misc/SWTypes/DropPod.cpp:36
Antares,DropPod.Veterancy,DropPod_Veterancy,member-referenced,1,src/Misc/SWTypes/DropPod.cpp:35
Antares,DurationMultiple,Duration_Multiple,same-subsystem,2,src/Enum/RadTypes.cpp:39
Antares,EliteAbilities,,same-subsystem-broad,202,src/Ext/TechnoType/Body.cpp:245
Antares,EMP.Cap,EMP_Cap,member-referenced,31,src/Ext/WarheadType/Body.cpp:76
Antares,EMP.Duration,EMP_Duration,member-referenced,31,src/Ext/WarheadType/Body.cpp:75
Antares,EMP.Modifier,EMP_Modifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:220
Antares,EMP.Sparkles,EMP_Sparkles,member-referenced-broad,233,src/Ext/TechnoType/Body.cpp:221 ; src/Ext/WarheadType/Body.cpp:77
Antares,EMP.Threshold,EMP_Threshold,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:223 ; src/Ext/TechnoType/Body.cpp:231
Antares,EmptyReloadAmount,EmptyReloadAmount,member-referenced,10,src/Ext/TechnoType/Body.cpp:419
Antares,EMPulse.Cannons,EMPulse_Cannons,member-referenced,1,src/Misc/SWTypes/EMPulse.cpp:43
Antares,EMPulse.Linked,EMPulse_Linked,member-referenced,1,src/Misc/SWTypes/EMPulse.cpp:39
Antares,EMPulse.PulseBall,EMPulse_PulseBall,member-referenced,22,src/Misc/SWTypes/EMPulse.cpp:42
Antares,EMPulse.PulseDelay,EMPulse_PulseDelay,member-referenced,22,src/Misc/SWTypes/EMPulse.cpp:41
Antares,EMPulse.TargetSelf,EMPulse_TargetSelf,member-referenced,1,src/Misc/SWTypes/EMPulse.cpp:40
Antares,EnemyInsignia,EnemyInsignia,member-referenced,40,src/Ext/Rules/Body.cpp:82
Antares,Engineer,Engineer,member-referenced-broad,126,src/Ext/Side/Body.cpp:105
Antares,EVA.Activated,EVA_Activated,member-referenced-broad,58,src/Ext/SWType/Body.cpp:129
Antares,EVA.Detected,EVA_Detected,member-referenced,34,src/Ext/SWType/Body.cpp:130
Antares,EVA.Impatient,EVA_Impatient,member-referenced,34,src/Ext/SWType/Body.cpp:131
Antares,EVA.InsufficientFunds,EVA_InsufficientFunds,member-referenced,34,src/Ext/SWType/Body.cpp:132
Antares,EVA.Lost,EVA_UnitLost,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:367
Antares,EVA.Ready,EVA_Ready,member-referenced,34,src/Ext/SWType/Body.cpp:128
Antares,EVA.SelectTarget,EVA_SelectTarget,member-referenced,34,src/Ext/SWType/Body.cpp:133
Antares,EVA.Tag,EVAIndex,member-referenced-broad,45,src/Ext/Side/Body.cpp:111
Antares,Experience.AirstrikeModifier,AirstrikeExperienceModifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:268
Antares,Experience.FromAirstrike,ExperienceFromAirstrike,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:267
Antares,Experience.FromPassengers,ExperienceFromPassengers,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:261
Antares,Experience.MindControlSelfModifier,MindControlExperienceSelfModifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:263
Antares,Experience.MindControlVictimModifier,MindControlExperienceVictimModifier,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:264
