Address,Framework,Channel,Function,StolenBytes,Subsystem,SourceFile
0x45455B,Phobos,release,BuildingClass_VisualCharacter_CloakVisibility,0x5,Ext/Techno,src/Ext/Techno/Hooks.Cloak.cpp
0x4549F8,Antares,release,BuildingClass_UpdatePowered_SensorArray,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x4549F8,Ares,release,BuildingClass_UpdatePowered_SensorArray,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x454B3D,Antares,release,BuildingClass_UpdatePowered_PrismForward,0x6,Ext/Building,src/Ext/Building/Hooks.Prism.cpp
0x454B3D,Ares,release,BuildingClass_UpdatePowered_PrismForward,0x6,Ext/Building,src/Ext/Building/Hooks.Prism.cpp
0x454B5F,Antares,release,BuildingClass_UpdatePowered_SensorArray,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x454B5F,Ares,release,BuildingClass_UpdatePowered_SensorArray,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x454BF7,Antares,release,BuildingClass_UpdatePowered_NeedsEngineer,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x454BF7,Ares,release,BuildingClass_UpdatePowered_NeedsEngineer,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x4555E4,Phobos,release,BuildingClass_IsPowerOnline_Overpower,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x45563B,Phobos,release,BuildingClass_IsPowerOnline_Overpower,0x6,Ext/Building,src/Ext/Building/Hooks.cpp
0x4556E1,Antares,release,BuildingClass_SensorArrayDeactivate,0x7,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x4556E1,Ares,release,BuildingClass_SensorArrayDeactivate,0x7,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x4557BC,Antares,release,BuildingClass_SensorArray_BuildingRedraw,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x4557BC,Ares,release,BuildingClass_SensorArray_BuildingRedraw,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x455828,Antares,release,BuildingClass_SensorArrayActivate,0x8,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x455828,Ares,release,BuildingClass_SensorArrayActivate,0x8,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x455923,Antares,release,BuildingClass_SensorArray_BuildingRedraw,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x455923,Ares,release,BuildingClass_SensorArray_BuildingRedraw,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
0x455D50,Phobos,release,BuildingClass_AssignDestination_SyncLog,0xA,Misc,src/Misc/SyncLogging.cpp
0x455E4C,Antares,release,HouseClass_FindRepairBay,0x9,Misc,src/Misc/Bugfixes.cpp
0x455E4C,Ares,release,HouseClass_FindRepairBay,0x9,Misc,src/Misc/Bugfixes.cpp
0x4566F9,Antares,release,BuildingClass_GetRangeOfRadial_SensorArray,0x6,Ext/Building,src/Ext/Building/Hooks.Sensor.cpp
