String,Kind,Domains,ReadSites,StringVA
ActiveAnimThreePoweredLight,tag,art|ra2|ts,0x461f6c,0x81a340
ActiveAnimThreePoweredSpecial,unclassified,,0x461fa6,0x81a300
ActiveAnimThreeX,unclassified,,0x461edb,0x81a3b8
ActiveAnimThreeY,unclassified,,0x461ef8,0x81a3a4
ActiveAnimThreeYSort,tag,art|ra2,0x461f32,0x81a374
ActiveAnimThreeZAdjust,tag,art|ra2|ts|tsfs,0x461f15,0x81a38c
ActiveAnimTwo,tag,art|ra2|ts|tsfs,0x461a72,0x81a4f8
ActiveAnimTwoDamaged,tag,art|ra2|ts|tsfs,0x461ad0,0x81a4e0
ActiveAnimTwoGarrisoned,unclassified,,0x461b6a,0x81a4c8
ActiveAnimTwoPowered,tag,art|ra2|ts,0x461ca1,0x81a464
ActiveAnimTwoPoweredEffect,unclassified,,0x461cdb,0x81a42c
ActiveAnimTwoPoweredLight,tag,art|ra2|ts,0x461cbe,0x81a448
ActiveAnimTwoPoweredSpecial,unclassified,,0x461cf8,0x81a410
ActiveAnimTwoX,unclassified,,0x461c2d,0x81a4b8
ActiveAnimTwoY,unclassified,,0x461c4a,0x81a4a8
ActiveAnimTwoYSort,tag,art|ra2|ts,0x461c84,0x81a47c
ActiveAnimTwoZAdjust,tag,art|ra2|ts|tsfs,0x461c67,0x81a490
ActiveAnimX,unclassified,,0x46197f,0x81a598
ActiveAnimY,tag,art|ra2|ts,0x46199c,0x81a58c
ActiveAnimYSort,tag,art|ra2|ts,0x4619d6,0x81a568
ActiveAnimZAdjust,tag,art|ra2|ts|tsfs,0x4619b9,0x81a578
ActiveRect,tag,ts,0x4f2def 0x4f31d8,0x824240
AddMatchBuddies,unclassified,,0x779a01 0x779b0f,0x84a12c
AddPlanningModeCommandSound,tag,ra2|rules,0x669b31,0x83a93c
Adjacent,tag,ra2|rules|ts|tsfs,0x45ffb6,0x81ae40
AffectsAllies,tag,rules,0x75d9df,0x847cc8
Agent,tag,ra2|rules|ts,0x5245a1,0x825954
Aggressive,tag,ai|map|ra2|ts|tsfs,0x6f12a9 0x6f16cb,0x843034
AirRangeBonus,tag,ra2|rules,0x7147a1,0x843ad4
Airburst,tag,ra2|rules|ts,0x46c18b,0x81b078
AirburstWeapon,tag,ra2|rules|ts|tsfs,0x46c2b1,0x81b04c
Aircraft,tag,ra2|rules|ts,0x67436c,0x817460
AircraftCostBonus,tag,rules,0x4606cf,0x81ab9c
AircraftFogReveal,tag,ra2|rules|ts,0x66eb2f,0x83cb4c
AirportBound,tag,ra2|rules,0x41cc6e,0x81803c
Airspeed,tag,ra2|rules|ts,0x5119ca 0x66d2c2,0x82547c
Airstrike,tag,rules,0x75d8ce,0x817154
AirstrikeAbortSound,tag,rules,0x66a052,0x83a770
AirstrikeAttackVoice,tag,rules,0x66a094,0x83a758
AirstrikeRechargeTime,tag,rules,0x714629,0x843b2c
AirstrikeTeam,tag,rules,0x714591,0x843b84
AirstrikeTeamType,tag,rules,0x7145cd,0x843b5c
AirstripLimit,tag,ra2|rules|ts,0x673cf2,0x83d1e4
AirstripRatio,tag,ra2|rules|ts,0x673cd1,0x83d1f4
Allied,tag,eva|ra2,0x752fb9,0x846788
AlliedBaseDefenseCounts,tag,ra2|rules,0x67002c,0x83c44c
AlliedBaseDefenses,tag,rules,0x67306d,0x83d444
AlliedCrew,tag,ra2|rules,0x66fce5,0x83c60c
AlliedDisguise,tag,ra2|rules,0x66fba1,0x83c6a0
AlliedSurvivorDivisor,tag,ra2|rules,0x670c20,0x83bea8
AlliedWallTransparency,tag,ra2|rules,0x66d21b,0x83b39c
Allies,tag,map,0x5010a8 0x501351,0x824d5c
AlliesAllowed,tag,mp|ra2|rules,0x5d5cdf 0x672148,0x8308ac
AllowBurrowing,tag,ra2|theater|ts,0x546169,0x829218
AllowFind,unclassified,,0x77def2 0x77e006,0x84a520
AllowHiResModes,unclassified,,0x5fa942,0x833100
AllowModeToggle,unclassified,,0x5fa981 0x6bc0e8,0x8330dc
