String,Kind,Domains,ReadSites,StringVA
CMislRaiseRate,tag,rules,0x67162f,0x83b948
CMislTiltFrames,tag,rules,0x67159c,0x83b98c
CMislTurnRate,tag,rules,0x67160c,0x83b958
CMislType,tag,rules,0x671717,0x83b8d8
CMislWarhead,tag,rules,0x66c497,0x83b174
COM,code,,0x696888,0x83ece0
CON,code,,0x5f2af2,0x8327d8
CONNECT,unclassified,,0x5f2eb8,0x832934
CONQMD.MIX,file,,0x53046a 0x5304c3,0x826838
CONQUER.MIX,file,,0x5305f7 0x530644,0x8267ec
COW,code,,0x51ce9a,0x82554c
CRAT,code,,0x6c72da,0x8420bc
CRED,code,,0x6c7179,0x8420ec
CREDITS,unclassified,,0x4c42da,0x8207e4
CREDITSMD.TXT,file,,0x4c3e48,0x82084c
CRITICAL,unclassified,,0x752f2d,0x8161c0
CRTK,code,,0x76ad64,0x848cf0
CURR01.SHP,file,,0x68d086,0x83e420
CYID,code,,0x76aec3,0x848cb0
CYLN,code,,0x76ad76,0x848ce8
C_SHADOW.SHP,file,,0x5451e2,0x82960c
CallWaitString,unclassified,,0x69861d 0x699221,0x83f068
CallWaitStringIndex,unclassified,,0x6985ef 0x699239,0x83f078
Cameo,tag,art|ra2|ts|tsfs,0x71599f 0x716c8b 0x716cc9,0x843350
Camera,unclassified,,0x772611,0x8493e8
CameraRange,tag,ra2|rules|ts,0x66f2db,0x83c860
CampDifficulty,unclassified,,0x5fa6b1 0x5fad6d,0x8332a8
CampaignAI,tag,coop|ra2,0x49dd45,0x81f334
CampaignEnemy,tag,ra2,0x49e191,0x81f30c
CampaignID,unclassified,,0x764ac0 0x764e15 0x765121 0x7652a7,0x847fd0
CampaignLoadScreen,tag,coop,0x49dce0,0x81f35c
CampaignLoadScreenPallet,tag,coop,0x49dd11,0x81f340
CampaignMoneyDeltaEasy,tag,ra2|rules,0x670167,0x83c39c
CampaignMoneyDeltaHard,tag,ra2|rules,0x670187,0x83c384
CampaignName,tag,coop|ra2,0x49dc7b,0x81f38c
CampaignPlayer,tag,ra2,0x49df7a,0x81f324
CampaignType,unclassified,,0x49c30a 0x49c850,0x81f184
Campaigns,unclassified,,0x49db6c 0x49dc1e 0x49dc42,0x81f3b4
CanApproachTarget,tag,ra2|rules,0x7144a7,0x843c2c
CanBeHidden,tag,art|ra2,0x7121f2,0x8444f8
CanBeOccupied,tag,map|ra2|rules,0x4600d2,0x81adbc
CanBeach,unclassified,,0x747855,0x845d58
CanC4,tag,ra2|rules,0x460050,0x81adfc
CanDetonateDeathBomb,tag,ra2|rules,0x66c55c,0x83b128
CanDetonateTimeBomb,tag,ra2|rules,0x66c53d,0x83b140
CanDisguise,tag,ra2|rules,0x71440b,0x843c98
CanHideThings,tag,art|ra2,0x46140f,0x81a640
CanOccupyFire,tag,rules,0x4600ec,0x81adac
CanPassiveAquire,tag,ra2|rules,0x714473,0x843c50
CanRecalcApproachTarget,unclassified,,0x7144c1,0x843c14
CanRetaliate,tag,ra2|rules,0x71448d,0x843c40
Canceled,unclassified,,0x76ceab,0x848f18
Capturable,tag,map|ra2|rules|ts|tsfs,0x45ffce,0x81ae34
CaptureEvaEvent,tag,rules,0x460258,0x81ac90
CaptureTheFlag,tag,ra2|rules|ts,0x6720e9,0x83cfe8
CarriesCrate,tag,ra2|rules|ts,0x747728,0x845de0
CarryOverCap,tag,map,0x68a1a6 0x68b12b,0x83e108
CarryOverMoney,tag,map,0x68a169 0x68b384,0x83e118
Carryall,tag,ra2|rules|ts,0x41cca2,0x818028
Category,tag,ra2|rules|ts|tsfs,0x713164,0x844194
CausesDelayKill,tag,ra2|rules,0x75d438,0x847e74
Cell,unclassified,,0x698be3,0x8173f8
CellAnim,tag,ts,0x5fe87c,0x833544
CellInset,tag,ra2|rules,0x75d3ff,0x847e94
CellRangefinding,tag,ra2|rules,0x77213b,0x849508
CellSpread,tag,ra2|rules,0x75d3e0,0x847ea0
CellTags,unclassified,,0x4ad1b3 0x4ad1d6 0x4ad1f5,0x81ffe4
ChainReaction,tag,ra2|rules|ts,0x5fe9ae,0x8334f0
ChargeAnim,tag,art|ra2|ts|tsfs,0x46118d,0x81a774
ChargeToDrainRatio,tag,ra2|rules|ts,0x671850,0x83b828
ChargedAnimTime,tag,ra2|rules,0x460b9e,0x81a9b8
Charges,tag,ra2|rules|ts|tsfs,0x772693,0x8493c0
CheckHeap,unclassified,,0x69823c,0x83f184
CheerSound,tag,ra2|rules,0x669651,0x83aaa8
ChronoBeam,tag,ra2|rules,0x66e0cc,0x83cdf0
ChronoBeamColor,tag,ra2|rules,0x66b7b4,0x83a1f0
ChronoBlast,tag,ra2|rules,0x66e10a,0x83cde4
ChronoBlastDest,tag,ra2|rules,0x66e149,0x83cdd4
ChronoDelay,tag,ra2|rules,0x66fae3,0x83c714
ChronoDistanceFactor,tag,ra2|rules,0x66fb22,0x83c6e8
ChronoHarvTooFarDistance,tag,ra2|rules,0x670003,0x83c464
ChronoInSound,tag,ra2|rules,0x6699e9 0x7135da,0x83a9a4
ChronoMinimumDelay,tag,ra2|rules,0x66fb61,0x83c6c4
ChronoOutSound,tag,ra2|rules,0x669a2a 0x71361c,0x83a994
ChronoPlacement,tag,ra2|rules,0x66e08d,0x83cdfc
ChronoRangeMinimum,tag,ra2|rules,0x66fb81,0x83c6b0
ChronoReinfDelay,tag,ra2|rules,0x66fb02,0x83c700
ChronoSparkle1,tag,ra2|rules,0x66e300,0x83cd64
ChronoTrigger,tag,ra2|rules,0x66fb42,0x83c6d8
ChronoTurretIndex,tag,ra2|rules,0x747d73,0x845adc
ChronoTurretWeapon,tag,ra2|rules,0x747d82,0x845ac8
ChuteSound,tag,ra2|rules|ts,0x66acee,0x83a454
CivEvac,unclassified,,0x68a63f 0x68ad98,0x83dfd8
Civilian,tag,ra2|rules|ts|tsfs,0x524553,0x818164
Class,unclassified,,0x5bb8a3,0x82ced4
Clear,unclassified,,0x4acf36,0x81dc1c
ClearAllWeapons,unclassified,,0x71289f,0x84431c
ClearTile,tag,ra2|theater|ts,0x54559a,0x8295b8
ClearToGreenLat,tag,ra2|theater|ts,0x545672,0x829548
ClearToPaveLat,tag,ra2|theater|ts,0x54568d,0x829538
ClearToRoughLat,tag,ra2|theater|ts,0x545638,0x829568
ClearToSandLat,tag,ra2|theater|ts,0x545657,0x829558
ClickMap,tag,mapsel|ra2|ts|tsfs,0x5cfcce 0x76877c,0x8304b4
ClickRepairable,tag,map|ra2|rules,0x4600b8,0x81adcc
CliffBackImpassability,tag,ra2|rules|ts,0x66f1d9,0x83c8cc
CliffRamps,tag,ra2|theater|ts,0x54588e,0x82942c
CliffSet,tag,ra2|theater|ts,0x545714,0x8294f8
Climb,tag,ra2|rules|ts,0x674446,0x83d54c
CloakDelay,tag,ra2|rules|ts,0x670aff,0x83bf34
CloakGenerator,tag,ts|tsfs,0x460bea,0x81a998
CloakRadiusInCells,tag,ts|tsfs,0x460c21,0x81a978
CloakSound,tag,ra2|rules|ts,0x66a6fa,0x83a570
CloakStop,unclassified,,0x713116,0x8441b4
Cloakable,tag,ra2|rules|ts|tsfs,0x713f7f,0x843ea8
CloakingSpeed,tag,ra2|rules|ts|tsfs,0x712441,0x84443c
CloakingStages,tag,ra2|rules|ts,0x66f146,0x83c920
Cloning,tag,ra2|rules,0x46095b,0x81aad4
CloseEnough,tag,ra2|rules|ts,0x670eea,0x83bd84
CloseRange,tag,rules,0x71497a,0x8439c4
Cluster,tag,ra2|rules|ts|tsfs,0x46c1a1,0x81b070
CollapseChance,tag,ra2|rules|ts,0x66cf3c,0x83accc
Color,tag,map|ra2|rules|ts|tsfs,0x46bf9d 0x500de4 0x501304 0x511935 0x6982ee 0x699137 0x721b29 0x7788bc 0x778c5b 0x77a26a,0x81b138
Color1,unclassified,,0x49c337 0x49c8eb,0x81f174
Color2,unclassified,,0x49c367 0x49c953,0x81f164
ColorEx,unclassified,,0x69830a 0x699154,0x83f150
ColorList,tag,ra2|rules|ts,0x644f93,0x837240
ColorSpeed,tag,ra2|rules|ts,0x6451f8,0x837178
CombatLightSize,tag,ra2|rules,0x75d490,0x847e44
ComboDropWin,unclassified,,0x6181fe,0x8357a0
Community,unclassified,,0x79839c 0x7987c7 0x798ce9,0x84cd6c
CompEasyBonus,tag,ra2|rules|ts,0x673d10,0x83d1d4
Compression,unclassified,,0x698535 0x6992ec,0x83f0b8
Compression_Off,unclassified,,0x5bbc72,0x82cdb4
Compression_On,unclassified,,0x5bbc15,0x82cdec
Computer,unclassified,,0x50a628 0x64ca27 0x688225,0x824fd8
ComputerBaseDefenseResponse,tag,ra2|rules|ts,0x673e4e,0x83d110
ConcentricRadialIndicator,tag,ra2|rules,0x461037,0x81a7bc
ConcreteWalls,tag,ra2|rules|ts,0x673770,0x83d3b0
ConditionRed,tag,ra2|rules|ts,0x66b34b,0x83a380
ConditionRedSparkingProbability,unclassified,,0x6718c5,0x83b7c8
ConditionYellow,tag,ra2|rules|ts,0x66b372,0x83a370
ConditionYellowSparkingProbability,unclassified,,0x67189e,0x83b7e8
ConflictSelected,unclassified,,0x76d2e2,0x848f40
Connected,unclassified,,0x5f300b,0x832908
"Connected
",unclassified,,0x5f301f,0x8328f8
ConsideredAircraft,tag,ra2|rules,0x714fe9,0x843728
Construction,tag,ra2|rules|ts,0x66a98b,0x816dcc
ConstructionYard,tag,ra2|rules|ts,0x460a2b,0x81aa74
ContentScan,tag,ra2|rules|ts,0x66d38a 0x67434d,0x83b3b4
Control,tag,ra2|sound,0x7506ad 0x7511a9,0x846544
ControlledAnimationType,tag,rules,0x66ca11,0x83af00
Conventional,tag,ra2|rules|ts,0x75d4e1,0x847e34
CoopCampMD.ini,file,,0x49db0a 0x679cf3 0x679e02,0x81f3c0
Cooperative,unclassified,,0x5d7e24,0x830bcc
Coord,unclassified,,0x698b76,0x83eff4
Cost,tag,map|ra2|rules|ts|tsfs,0x511a2d 0x66d307 0x7146a6,0x825470
CostAircraftMult,unclassified,,0x511bb0,0x825398
CostBuildingsMult,unclassified,,0x511bcf,0x825384
CostDefensesMult,unclassified,,0x511bee,0x825370
CostInfantryMult,unclassified,,0x511b72,0x8253bc
CostUnitsMult,tag,map,0x511b91,0x8253ac
Country,tag,map,0x5009fd 0x50125f 0x77888e 0x778c29 0x77a23b,0x824d4c
CourseLockDuration,tag,ra2|rules,0x46bf48,0x81b150
CowTurretIndex,tag,ra2|rules,0x747dc5,0x845a7c
CowTurretWeapon,tag,ra2|rules,0x747dd4,0x845a6c
Crashable,tag,ra2|rules,0x71520d,0x843634
CrashingSound,tag,ra2|rules,0x712f80,0x84420c
Crate,tag,ra2|rules|ts,0x5fe80c,0x833578
CrateArmourSound,tag,ra2|rules,0x66981d,0x83aa1c
CrateBeneath,tag,ra2|rules,0x460ec1,0x81a874
CrateBeneathIsMoney,tag,ra2|rules,0x460edb,0x81a860
CrateFireSound,tag,ra2|rules,0x6697db,0x83aa30
CrateGoodie,tag,mp|ra2|rules|ts|tsfs,0x747658,0x845e20
CrateImg,tag,ra2|rules|ts,0x66b99f,0x83aca8
CrateMaximum,tag,ra2|rules|ts,0x66ba70,0x83ac68
CrateMinimum,tag,ra2|rules|ts,0x66ba50,0x83ac78
CrateMoneySound,tag,ra2|rules,0x669758,0x83aa54
CratePromoteSound,tag,ra2|rules,0x6698e2,0x83a9e8
CrateRadius,tag,ra2|rules|ts,0x66ba90,0x83ac5c
CrateRegen,tag,ra2|rules|ts,0x66bab7,0x83ac50
CrateRevealSound,tag,ra2|rules,0x66979a,0x83aa40
CrateSpeedSound,tag,ra2|rules,0x66985f,0x83aa0c
CrateTrigger,tag,ra2|rules|ts,0x5fe822,0x833568
CrateUnitSound,tag,ra2|rules,0x6698a0,0x83a9fc
Crater,tag,art|ra2|rules|ts,0x427ebd 0x6b5703,0x8185f4
Crates,tag,ra2|rules|ts,0x6720ca,0x83cff8
CratesAppear,unclassified,,0x698029 0x699049,0x83efa8
Crawls,tag,art|ra2|ts|tsfs,0x5246ae,0x8258f4
CreateAircraftSound,tag,ra2|rules,0x66a44b,0x83a630
CreateInfantrySound,tag,ra2|rules,0x66a409,0x83a644
"CreatePalette
",unclassified,,0x4a443b,0x81fe28
CreateSound,tag,ra2|rules,0x712e84,0x844228
CreateUnitSound,tag,ra2|rules,0x4607c8 0x66a3c8,0x81ab3c
"Create_One_Of...
",unclassified,,0x6f09c4,0x842e7c
CreditReserve,tag,ra2|rules|ts,0x6739d2,0x83d334
CreditTicks,tag,ra2|rules|ts,0x66a9c8,0x83a4e4
Credits,tag,map,0x500ba6 0x5012a2 0x697f7d 0x698fdf,0x824e38
CrewEscape,tag,ra2|rules|ts,0x66ed80,0x83ca40
Crewed,tag,ra2|rules|ts|tsfs,0x714a36,0x84396c
CruiseHeight,tag,ra2|rules|ts,0x674467,0x83d53c
Crush,tag,ra2|rules|ts,0x66cdbb,0x83ad80
CrushSound,tag,ra2|rules|ts|tsfs,0x5f93a0,0x832bf4
CrushWarhead,tag,rules,0x66c35d,0x83b1c4
Crushable,tag,ra2|rules|ts|tsfs,0x5f940a,0x832bd8
Crusher,tag,ra2|rules|ts|tsfs,0x714ccf,0x81bb58
Culling,tag,ra2|rules,0x75d938,0x847d10
CurVer,unclassified,,0x6bb5c2,0x840b2c
CurleyShuffle,tag,ra2|rules|ts,0x66fd42,0x83c5e4
CurrentMap,unclassified,,0x49c2de 0x49c837 0x49d5b0,0x81f19c
CurrentStrengthDamage,tag,rules,0x66c9e3,0x83af18
CustomRotor,unclassified,,0x41ccde,0x818014
Cyborg,tag,ts|tsfs,0x5243b0,0x825a0c
CyrixInstead,unclassified,,0x4e61fa,0x822cc8
DATE,code,,0x6c7829,0x842060
DESO,code,,0x51f76d,0x82557c
DIS,code,,0x7af2b1,0x84d784
DMislAcceleration,tag,ra2|rules,0x6714a1,0x83ba0c
DMislAltitude,tag,ra2|rules,0x6714bf,0x83b9fc
DMislBodyLength,tag,ra2|rules,0x67151e,0x83b9cc
DMislDamage,tag,ra2|rules,0x6714df,0x83b9f0
DMislEliteDamage,tag,ra2|rules,0x6714fe,0x83b9dc
DMislEliteWarhead,tag,ra2|rules,0x66c458,0x83b184
DMislLazyCurve,tag,ra2|rules,0x67153e,0x83b9bc
DMislPauseFrames,tag,ra2|rules,0x6713c3,0x83ba74
DMislPitchFinal,tag,ra2|rules,0x67142e,0x83ba40
DMislPitchInitial,tag,ra2|rules,0x67140a,0x83ba50
DMislRaiseRate,tag,rules,0x671478,0x83ba20
DMislTiltFrames,tag,ra2|rules,0x6713e3,0x83ba64
DMislTurnRate,tag,ra2|rules,0x671451,0x83ba30
DMislType,tag,ra2|rules,0x67155e,0x83b9b0
DMislWarhead,tag,ra2|rules,0x66c3db,0x83b1a8
DPOD.HVA,file,,0x5317d4,0x8268d8
DPOD.VXL,file,,0x531761,0x826900
DURA,code,,0x6c714a,0x8420f4
DamSmkOffScrnRel,unclassified,,0x713e49,0x843f4c
Damage,tag,art|map|ra2|rules|ts|tsfs,0x427fa7 0x645021 0x74b3df 0x7722db,0x81859c
DamageDelay,tag,ra2|rules|ts,0x670d42,0x83be20
DamageFireTypes,tag,ra2|rules,0x66d573,0x83cf58
DamageLevels,tag,art|ra2|ts|tsfs,0x5fe8b3,0x833534
DamageParticleSystems,tag,ra2|rules|ts|tsfs,0x713c2c,0x843f8c
DamageRadius,tag,art|ra2|rules|ts,0x428658 0x74b3f9,0x8183bc
DamageReducesReadiness,unclassified,,0x7148bf,0x843a28
DamageSelf,tag,rules,0x713f65,0x843eb4
DamageSmokeOffset,tag,ra2|rules|ts|tsfs,0x713e25,0x843f60
DamageSound,tag,ra2|rules,0x712ecc,0x84421c
DamagedDoor,tag,ts,0x46129e,0x81a710
Deacc,tag,ra2|rules|ts|tsfs,0x645102,0x8371f4
DeaccelerationFactor,tag,ra2|rules|ts,0x71249b,0x8443f4
DeactivateSound,tag,rules,0x66a260 0x713922,0x83a6cc
DeadBodies,tag,ra2|rules|ts,0x5241f3 0x66d9a2,0x825a20
DeathAnims,unclassified,,0x5242e1,0x825a14
DeathFrameRate,tag,tsfs,0x74790b,0x845d20
DeathFrames,tag,tsfs,0x7478ed,0x845d30
DeathWeapon,tag,ra2|rules,0x66c58a 0x7122f0,0x83b11c
DeathWeaponDamageModifier,tag,ra2|rules,0x712325,0x844488
Debris,tag,ra2|rules|ts,0x721b4f,0x8448e4
DebrisAnims,tag,ra2|rules,0x71274f,0x844368
DebrisMaximums,tag,ra2|rules|ts,0x7126eb 0x75dcfc,0x844374
DebrisTypes,tag,ra2|rules|ts,0x7125f1 0x75daf5,0x844384
DebugOnly,tag,battle|ra2,0x46cd58,0x81b1b0
Decay,tag,ra2|sound,0x750676,0x84654c
DecloakToFire,tag,ra2|rules,0x772121,0x84951c
"Default
",unclassified,,0x77766e,0x849f14
DefaultChronoSound,unclassified,,0x669693,0x83aa94
DefaultDebrisSmokeSystem,tag,ra2|rules|ts,0x66cc06,0x83ae2c
DefaultFireStreamSystem,tag,ra2|rules|ts,0x66cc45,0x83ae14
DefaultLargeGreySmokeSystem,tag,ra2|rules|ts,0x66cacd,0x83aeb0
DefaultLargeRedSmokeSystem,tag,ra2|rules|ts,0x66cb89,0x83ae64
DefaultMirageDisguises,tag,ra2|rules,0x671d51,0x83b488
DefaultPalette,unclassified,,0x768c9f,0x8489e0
DefaultPersona,unclassified,,0x779c1b 0x779d6c 0x779e9b 0x779fec,0x84a13c
DefaultRepairParticleSystem,tag,ra2|rules|ts,0x66ccc2,0x83addc
DefaultSmallGreySmokeSystem,tag,ra2|rules|ts,0x66cb0b,0x83ae94
DefaultSmallRedSmokeSystem,tag,ra2|rules|ts,0x66cbc7,0x83ae48
DefaultSparkSystem,tag,ra2|rules|ts,0x66cb4a,0x83ae80
DefaultTestParticleSystem,tag,ra2|rules|ts,0x66cc83,0x83adf8
DefaultToGuardArea,tag,ra2|rules,0x714f44,0x843784
Defaults,unclassified,,0x7510fb 0x751139 0x75115c 0x751180 0x7511ae 0x75120d 0x751266 0x751280,0x84658c
DefenseLimit,tag,ra2|rules|ts,0x673bd7,0x83d24c
DefenseRatio,tag,ra2|rules|ts,0x673bb7,0x83d25c
DefensesCostBonus,tag,rules,0x46070d,0x81ab74
Deform,tag,ra2|rules|ts,0x75d785,0x847d80
DeformThreshhold,tag,ra2|rules|ts,0x75d7a1,0x847d6c
Degenerates,unclassified,,0x46c157,0x81b08c
Delay,tag,ra2|sound,0x750834,0x846534
DelayKillAtMax,tag,ra2|rules,0x75d471,0x847e54
DelayKillFrames,tag,ra2|rules,0x75d450,0x847e64
DelayedFireDelay,tag,art|ra2,0x4611c7,0x81a74c
DeleteOnStateLimit,tag,ra2|rules|ts|tsfs,0x645134,0x8371d8
DeployDir,tag,rules,0x66927f,0x83abac
DeployFacing,tag,rules,0x460c76,0x81a93c
DeployFire,tag,ra2|rules,0x7147ef,0x843aa0
DeployFireWeapon,unclassified,,0x7147d5,0x843aac
DeploySound,tag,ra2|rules|ts,0x713568,0x8440b0
DeployTime,tag,ra2|rules|ts|tsfs,0x714b85,0x843904
DeployToFire,tag,ts|tsfs,0x747672,0x845e10
DeployToLand,tag,rules,0x714809,0x843a90
DeployedCrushable,tag,rules,0x524627,0x825914
Deployer,tag,ra2|rules,0x52460d,0x825928
DeployingAnim,tag,art|ra2|rules|ts|tsfs,0x45f322 0x714715,0x819490
DeploysInto,tag,ra2|rules|ts|tsfs,0x713279,0x844180
Description,tag,battle|map|mapsel|ra2|ts|tsfs,0x46cd73 0x46cd9b 0x597812 0x597afe 0x597e43 0x5cfa3f 0x69a532,0x81b1a4
DescriptionText,unclassified,,0x69a4ec 0x69a517,0x83f648
DestNet,unclassified,,0x5faccb 0x5faf8f 0x6bc196,0x83300c
DestroyAnim,tag,ra2|rules,0x713a97,0x843ff0
DestroyParticleSystems,unclassified,,0x713d2c,0x843f74
DestroySmokeOffset,unclassified,,0x713e62,0x843f38
DestroyWalls,tag,ra2|rules|ts,0x66d376,0x83b3c0
DestroyableBridges,tag,map|ra2|rules|ts,0x6b8b98 0x6b8e1f,0x840248
DestroyableCliffs,tag,ra2|theater|ts,0x545967,0x8293b0
DetailBufferZoneWidth,tag,ra2|rules,0x669248,0x83abc0
DetailLevel,tag,art|ra2|ts|tsfs,0x428081 0x5fa782 0x5fadd3,0x81855c
DetailMinFrameRateMovie,tag,ra2|rules,0x66922f,0x83abd8
DetailMinFrameRateNormal,tag,ra2|rules,0x669216,0x83abf0
DetectDisguise,tag,ra2|rules,0x71443f,0x843c78
DetectDisguiseRange,tag,ra2|rules,0x714302,0x843d3c
DetectionDistance,unclassified,,0x524505,0x825988
DetonationAltitude,tag,ra2|rules,0x46c337,0x81b018
DialMethod,unclassified,,0x698580 0x69927d,0x83f09c
"Dial_Modem
",unclassified,,0x5f295c,0x832880
DialogList,unclassified,,0x75300c 0x753029 0x753059 0x753068,0x8467d4
DieSound,tag,ra2|rules,0x7134f2,0x8440bc
Difficult,unclassified,,0x668f19 0x67452c,0x83a0c4
Difficulty,unclassified,,0x5fa669 0x5fad53,0x8332cc
Dig,tag,ts,0x66a593,0x83a5cc
DigSound,tag,ra2|rules|ts,0x66933d,0x83ab70
Digest,unclassified,,0x474254 0x474276 0x474365 0x47438e 0x47447b 0x4744f4 0x47450d 0x47456e 0x4745e7 0x474603 0x5e5334 0x695362 0x699883 0x69a08c 0x69a8b3,0x81bfe0
DirectRocker,unclassified,,0x75d5cb,0x847dd8
DirectRockingCoefficient,tag,rules,0x66b8ab,0x83a164
DirtRoadCurve,tag,ra2|theater|ts,0x545930,0x8293d8
DirtRoadJunction,tag,ra2|theater|ts,0x545911,0x8293e8
DirtRoadSlopes,tag,ra2|theater|ts,0x5459d3,0x829378
DirtRoadStraight,tag,ra2|theater|ts,0x54594b,0x8293c4
DirtTrackTunnels,tag,ra2|theater|ts,0x545807,0x829478
DirtTunnels,tag,ra2|theater|ts,0x5457ec,0x82948c
DisableShadowCache,tag,art|ra2,0x715979,0x843358
DisableVoxelCache,tag,art|ra2,0x715955,0x84336c
Disableable,unclassified,,0x714bc7,0x8438e8
DisableableFromShell,tag,ra2|rules,0x6ceac7,0x8426f4
Disabled,tag,ts,0x4f3312,0x8242c0
DisabledDisguiseDetectionPercent,tag,ra2|rules,0x67020f,0x83c318
"Disconnect_Gracefully
",unclassified,,0x55cf13 0x55d298,0x82a044
Disconnects,unclassified,,0x778d4c 0x77a355,0x849fa8
DisguiseFakeBlinkTime,tag,ra2|rules,0x772273,0x849448
DisguiseFireOnly,tag,ra2|rules,0x7721f1,0x8494a0
DisguiseWhenStill,tag,ra2|rules,0x714459,0x843c64
DiskLaser,tag,rules,0x772645,0x817138
DiskLaserChargeUp,tag,rules,0x66a366,0x83a670
DisplayAsian,unclassified,,0x77df5e 0x77e07e,0x84a4f0
DisplayBuddies,unclassified,,0x77df94 0x77e0b0,0x84a4d0
DisplayClan,unclassified,,0x77dfaf 0x77e0d0,0x84a4c4
DisplayLatin,unclassified,,0x77df79 0x77e09a,0x84a4e0
DissolveUnfilledTeamDelay,tag,ra2|rules|ts,0x66ff80,0x83c4c4
DistributedFire,tag,map|ra2|rules,0x714857,0x843a64
DistributedWeaponFire,unclassified,,0x772711,0x849374
DllGetVersion,unclassified,,0x4aece4,0x8201d4
DllRegisterServer,unclassified,,0x6bc38b,0x840de4
Dock,tag,ra2|rules|ts,0x713180,0x84418c
DockUnload,tag,ra2|rules|ts,0x4609dd,0x81aa94
Doggie,tag,ts,0x5245ef,0x825934
DominatorAmbient,unclassified,,0x68ab17 0x68b7b0,0x83dee4
DominatorAmbientChangeRate,unclassified,,0x68ac73 0x68b882,0x83de78
DominatorBlue,unclassified,,0x68abc5 0x68b819,0x83deb4
DominatorCaptureRange,tag,rules,0x66e040,0x83ce1c
DominatorDamage,tag,rules,0x66e05f,0x83ce0c
DominatorFireAtPercentage,tag,rules,0x66e020,0x83ce34
DominatorFirstAnim,tag,rules,0x66dfb1,0x83ce64
DominatorGreen,unclassified,,0x68ab8b 0x68b7f6,0x83dec4
DominatorGround,unclassified,,0x68abff 0x68b83c,0x83dea4
DominatorLevel,unclassified,,0x68ac39 0x68b85f,0x83de94
DominatorRed,unclassified,,0x68ab51 0x68b7d3,0x83ded4
DominatorSecondAnim,tag,rules,0x66dfef,0x83ce50
DominatorWarhead,tag,rules,0x66df72,0x83ce78
DontScore,tag,rules,0x713f4b,0x843ec0
DoorAnim,tag,ts|tsfs,0x45f4d6,0x819470
DoorStages,tag,ts|tsfs,0x461281,0x81a71c
DoubleOwned,unclassified,,0x712291,0x8444b0
DoubleThick,tag,art,0x427e21 0x461136,0x81862c
DownReport,unclassified,,0x7723f8,0x84941c
DrainAnimationType,tag,rules,0x66c94f,0x83af74
DrainMoneyAmount,tag,rules,0x66c99f,0x83af48
DrainMoneyFrameDelay,tag,rules,0x66c97f,0x83af5c
DrainWeapon,tag,rules,0x77223f,0x849470
Drainable,tag,rules,0x7143a3,0x843cd8
Draw,unclassified,,0x7705c6 0x770ed3,0x8491e8
DrawBoltAsLaser,unclassified,,0x772872,0x8492d4
DrawFlat,tag,ra2|rules|ts,0x5fe9c8,0x8334e4
DropPod,tag,ra2|rules|ts|tsfs,0x66d8a0,0x83cf00
DropPodAngle,tag,ra2|rules|ts,0x66ed1b,0x83ca4c
DropPodHeight,tag,ra2|rules|ts,0x66ecd4,0x83ca6c
DropPodPuff,tag,ts,0x6692a9,0x83aba0
DropPodSpeed,tag,ra2|rules|ts,0x66ecf4,0x83ca5c
DropPodWeapon,tag,ra2|rules|ts|tsfs,0x66eca3,0x83ca7c
DropZoneAnim,tag,ra2|rules|ts,0x66e5f0,0x83ccb4
DropZoneRadius,tag,ra2|rules|ts,0x66b391,0x83a360
Dropping,tag,ra2|rules,0x46c069,0x81b0dc
Droppod,tag,ai|map|ra2|ts|tsfs,0x6f120d 0x6f167b,0x843080
DumbMyEffectivenessCoefficient,tag,ra2|rules|ts,0x671bb1,0x83b5b4
DumbTargetDistanceCoefficient,tag,ra2|rules|ts,0x671c4d,0x83b52c
DumbTargetEffectivenessCoefficient,tag,ra2|rules|ts,0x671bd8,0x83b590
DumbTargetSpecialThreatCoefficient,tag,ra2|rules|ts,0x671bff,0x83b56c
DumbTargetStrengthCoefficient,tag,ra2|rules|ts,0x671c26,0x83b54c
Duration,tag,ra2|rules|ts,0x74b172,0x845ef4
EFIC01.SHP,file,,0x68cfb2,0x83e450
EMEffect,tag,ra2|rules|ts|tsfs,0x75d7b9,0x847d60
EMPulseCannon,tag,ts,0x460b65,0x81a9d4
EMPulseProjectile,tag,ra2|rules|ts,0x66916f,0x83a0dc
EMPulseSparkles,tag,ra2|rules|ts,0x66e62e,0x83cca4
EMPulseWarhead,tag,ra2|rules|ts,0x669130,0x83a0f0
ERRO,code,,0x5f2ba9 0x5f2f6d,0x8327a4
ERROR,unclassified,,0x775341,0x849b60
EVAMD.INI,file,,0x52c7af,0x825df0
EWGates,tag,ra2|rules|ts,0x673882,0x83d3a0
EXPAND.DAT,unclassified,,0x4c9164,0x822210
Easy,unclassified,,0x49dd39 0x668ef5 0x674508,0x818134
Edge,tag,map,0x500dcc 0x5012d4,0x824dd0
Efficiency,unclassified,,0x68d22f 0x68d55c,0x83e3fc
Elasticity,tag,art|ra2|rules|ts|tsfs,0x428160 0x46bf69 0x74b0ee,0x8184f4
ElectricAssault,tag,ra2|rules,0x75d81d,0x847d48
ElevationBonusCap,tag,ra2|rules,0x66d1c9,0x83b344
ElevationIncrement,tag,ra2|rules,0x66d17b,0x83b370
ElevationIncrementBonus,tag,ra2|rules,0x66d1a2,0x83b358
EligibileForAllyBuilding,tag,ra2|rules,0x46020a,0x81acc8
